COLLEGE,INCOME,OVERAGE,LEFTOVER,HOUSE,HANDSET_PRICE,OVER_15MINS_CALLS_PER_MONTH,AVERAGE_CALL_DURATION,REPORTED_SATISFACTION,REPORTED_USAGE_LEVEL,CONSIDERING_CHANGE_OF_PLAN,CHURN
zero,96771,0,0,505359,390,1,14,very_sat,very_high,actively_looking_into_it,STAY
one,30515,0,14,312112,196,0,4,very_unsat,avg,never_thought,LEAVE
zero,38537,170,11,785074,203,28,5,very_unsat,very_little,perhaps,LEAVE
one,143528,0,46,266773,481,4,2,unsat,little,considering,STAY
one,50509,202,0,293524,339,16,8,unsat,very_high,no,LEAVE
zero,159267,55,24,169270,688,4,5,very_sat,very_little,considering,LEAVE
one,20381,222,27,541099,233,1,1,very_sat,little,considering,LEAVE
zero,22303,0,67,477464,227,1,1,very_sat,little,actively_looking_into_it,LEAVE
zero,140695,210,0,166196,647,16,11,very_unsat,little,no,STAY
zero,31409,0,27,896398,841,0,1,sat,little,considering,STAY
one,149572,0,6,438130,502,28,4,very_sat,little,actively_looking_into_it,STAY
zero,49997,64,62,205927,713,4,2,unsat,very_little,considering,STAY
zero,22839,211,14,939942,225,16,4,very_sat,very_high,considering,STAY
one,39525,66,0,444123,231,4,10,very_unsat,avg,considering,LEAVE
zero,39003,0,0,480544,219,0,14,very_sat,very_little,considering,STAY
one,25379,0,87,891862,232,1,1,avg,very_high,no,LEAVE
zero,40926,0,23,956873,169,0,5,avg,little,actively_looking_into_it,STAY
one,75628,0,17,596822,812,0,5,very_unsat,very_high,considering,LEAVE
zero,49506,71,39,951266,211,4,1,unsat,little,no,STAY
zero,91644,70,7,746242,264,4,6,avg,high,actively_looking_into_it,STAY
one,146514,85,0,929691,715,4,6,very_sat,little,actively_looking_into_it,STAY
zero,118115,240,78,234198,818,22,1,very_unsat,little,considering,LEAVE
zero,133728,64,48,632969,626,3,2,unsat,high,no,STAY
one,55459,0,22,191161,367,1,6,very_sat,little,considering,STAY
one,40172,0,0,818091,207,1,12,very_unsat,little,considering,STAY
zero,73307,0,55,284313,398,0,1,sat,little,considering,LEAVE
zero,26097,187,20,932919,327,11,5,very_sat,very_high,considering,LEAVE
zero,99884,74,15,373022,268,5,4,avg,very_little,actively_looking_into_it,STAY
one,72819,47,0,647547,290,4,10,very_unsat,very_little,considering,STAY
zero,130436,182,22,217539,581,11,5,very_sat,little,never_thought,LEAVE
one,142012,47,28,369703,853,5,2,very_unsat,little,considering,STAY
one,29923,219,78,156574,142,16,10,very_sat,very_little,considering,STAY
zero,51583,211,24,787946,259,21,4,very_unsat,little,perhaps,LEAVE
zero,112904,230,41,531352,277,14,1,very_sat,little,no,LEAVE
one,96795,0,82,201407,264,0,1,unsat,very_little,actively_looking_into_it,LEAVE
zero,61562,0,68,836498,375,1,1,very_sat,very_little,never_thought,STAY
one,71629,0,15,215300,334,0,5,very_sat,very_little,actively_looking_into_it,STAY
zero,49656,266,18,259221,224,15,4,unsat,very_high,considering,LEAVE
zero,24982,190,0,251361,182,20,11,unsat,little,actively_looking_into_it,LEAVE
one,70750,210,0,225574,379,18,14,very_unsat,high,considering,LEAVE
zero,22956,59,0,997756,237,1,2,unsat,very_high,considering,STAY
zero,94223,169,74,546417,294,17,1,very_unsat,high,actively_looking_into_it,STAY
zero,21954,0,12,409798,231,1,4,very_sat,very_high,considering,STAY
one,64950,225,73,350018,142,12,2,very_sat,little,actively_looking_into_it,LEAVE
one,37094,48,6,162615,169,5,5,very_unsat,little,considering,STAY
zero,81097,174,72,296085,399,28,2,unsat,little,no,LEAVE
one,38112,210,0,714862,189,17,8,sat,little,never_thought,STAY
one,119839,226,82,557574,819,11,1,avg,little,actively_looking_into_it,STAY
one,21696,165,0,395864,243,13,4,very_sat,little,actively_looking_into_it,LEAVE
one,32355,0,75,757825,203,0,2,unsat,little,actively_looking_into_it,STAY
one,78369,143,0,195178,380,14,13,very_unsat,little,considering,LEAVE
zero,113787,58,23,223622,546,4,6,avg,very_high,considering,STAY
zero,125441,0,21,291999,454,1,4,very_sat,little,actively_looking_into_it,STAY
zero,39082,90,0,250837,208,4,9,very_sat,very_high,actively_looking_into_it,STAY
one,98254,0,0,955549,310,0,8,avg,very_little,actively_looking_into_it,STAY
one,103203,239,0,953902,430,28,14,very_unsat,very_little,no,LEAVE
zero,80226,68,0,706190,281,3,11,very_unsat,little,actively_looking_into_it,STAY
one,118050,0,0,165666,776,1,13,very_sat,avg,actively_looking_into_it,LEAVE
one,108643,0,0,517120,534,16,9,very_unsat,very_little,considering,STAY
one,32569,182,35,419558,132,1,1,very_unsat,very_high,considering,LEAVE
one,41376,50,17,851274,152,5,5,very_sat,very_high,never_thought,STAY
one,70188,0,22,222185,351,1,6,unsat,very_high,considering,STAY
zero,42334,43,16,828964,249,5,4,very_unsat,very_little,considering,STAY
one,51920,0,6,461025,307,1,6,unsat,very_high,considering,STAY
zero,75862,42,0,611199,265,3,13,very_sat,very_little,never_thought,STAY
zero,109682,0,49,990602,207,1,4,avg,avg,never_thought,LEAVE
one,29912,0,75,936639,206,1,2,avg,very_high,considering,STAY
zero,49779,0,47,888229,163,1,2,avg,avg,actively_looking_into_it,LEAVE
one,62556,201,35,863326,370,29,1,sat,high,no,LEAVE
zero,46597,172,23,155241,169,0,6,very_sat,very_high,no,LEAVE
one,55045,54,17,295673,268,3,6,unsat,very_high,actively_looking_into_it,STAY
zero,118019,238,0,910285,169,27,2,very_sat,little,considering,STAY
zero,130903,0,18,576266,819,0,4,very_unsat,very_high,considering,STAY
zero,104102,200,71,250243,654,21,2,very_unsat,little,actively_looking_into_it,LEAVE
one,31649,62,83,237696,143,4,2,avg,very_high,considering,STAY
one,129122,0,0,814018,448,1,9,avg,very_little,never_thought,STAY
zero,96112,162,0,227268,324,16,15,very_unsat,little,actively_looking_into_it,LEAVE
zero,75062,0,70,421269,297,1,1,very_unsat,very_little,no,STAY
zero,47165,230,17,999297,167,15,6,very_unsat,very_little,considering,STAY
zero,70331,207,0,165076,194,19,10,very_unsat,little,perhaps,LEAVE
one,36496,0,38,191624,200,17,2,unsat,very_high,actively_looking_into_it,LEAVE
one,51393,0,13,739695,211,1,6,very_sat,very_high,actively_looking_into_it,STAY
one,130427,0,23,417083,780,1,6,very_unsat,little,actively_looking_into_it,STAY
zero,117369,0,24,657109,725,1,4,very_sat,very_little,actively_looking_into_it,STAY
one,50865,0,24,404329,372,4,5,very_unsat,high,never_thought,STAY
one,80617,185,0,236262,375,16,11,very_unsat,little,considering,LEAVE
one,88617,0,0,313477,378,0,12,very_sat,little,perhaps,STAY
zero,138665,0,68,466217,774,1,2,very_unsat,avg,actively_looking_into_it,LEAVE
zero,41928,64,23,289288,225,5,5,very_unsat,high,no,STAY
zero,145809,190,17,339518,876,28,4,very_unsat,very_little,no,LEAVE
one,49998,0,83,984227,219,1,1,very_sat,very_high,considering,STAY
zero,62295,204,0,590681,285,19,8,very_unsat,very_high,never_thought,LEAVE
zero,157121,98,21,295727,615,5,4,very_unsat,very_high,no,LEAVE
zero,23231,0,24,536428,174,1,4,very_sat,high,never_thought,STAY
one,38219,53,24,199309,362,5,5,very_sat,little,actively_looking_into_it,STAY
one,26311,178,28,701691,235,17,2,avg,high,never_thought,STAY
one,49990,40,57,322533,159,4,6,unsat,avg,no,LEAVE
one,126269,189,79,267676,722,5,2,unsat,very_high,no,LEAVE
zero,64064,47,41,971821,320,3,1,very_unsat,very_high,considering,LEAVE
one,52711,144,21,686377,391,22,4,unsat,very_high,no,STAY
zero,136391,208,29,896295,485,13,8,unsat,very_little,no,LEAVE
zero,138296,0,22,596324,546,1,4,very_sat,little,considering,STAY
one,128289,261,60,594088,799,24,2,unsat,very_high,actively_looking_into_it,STAY
one,32644,50,10,562511,135,4,5,very_sat,little,never_thought,LEAVE
one,67513,187,46,796050,387,27,1,unsat,very_high,no,STAY
one,37605,29,0,157521,161,3,12,very_unsat,very_high,considering,LEAVE
one,142586,232,11,376562,453,10,4,very_sat,little,actively_looking_into_it,STAY
one,77951,0,19,184399,659,1,11,very_unsat,little,no,STAY
zero,149042,0,50,395567,874,1,2,very_sat,little,considering,LEAVE
zero,44611,230,11,866774,237,27,4,very_sat,very_high,considering,STAY
zero,96759,166,22,479246,365,14,1,very_unsat,little,actively_looking_into_it,STAY
one,70036,73,0,931209,317,4,14,avg,very_little,considering,STAY
one,107564,0,0,321753,689,1,1,very_unsat,avg,considering,LEAVE
zero,67804,90,40,246044,334,5,1,very_unsat,little,considering,STAY
zero,155582,80,89,713277,646,5,2,avg,very_little,actively_looking_into_it,LEAVE
zero,39453,78,14,169357,148,5,6,unsat,little,no,LEAVE
zero,81398,0,0,472216,328,1,14,unsat,very_little,considering,LEAVE
one,35229,220,0,866256,133,18,13,very_sat,very_high,perhaps,STAY
zero,68677,0,11,259058,387,0,5,very_unsat,little,considering,STAY
zero,31528,63,25,248312,180,5,2,very_unsat,little,actively_looking_into_it,LEAVE
one,30447,0,14,494703,230,0,4,very_unsat,little,no,STAY
zero,22126,180,0,673613,221,18,8,very_unsat,very_little,considering,STAY
zero,75454,78,31,930349,159,3,2,very_unsat,high,actively_looking_into_it,STAY
one,154257,42,22,462253,499,4,4,very_unsat,little,considering,STAY
zero,39028,0,35,834824,159,3,2,very_unsat,very_high,no,STAY
one,42066,0,28,725171,224,1,2,very_unsat,very_high,no,STAY
one,49484,0,9,689982,310,1,5,unsat,very_high,considering,STAY
zero,82127,0,79,276383,182,0,1,very_unsat,very_high,considering,LEAVE
one,33419,0,18,200043,146,1,5,unsat,very_little,never_thought,STAY
zero,32029,66,0,814470,175,3,15,very_sat,very_little,never_thought,STAY
one,78570,90,16,556553,334,5,4,very_sat,very_high,never_thought,LEAVE
zero,131087,60,7,242153,647,4,4,very_unsat,very_little,no,LEAVE
zero,95352,49,0,872452,297,4,12,unsat,little,considering,STAY
one,110433,196,77,568620,464,1,2,unsat,very_high,perhaps,LEAVE
zero,145346,52,0,894660,834,4,15,unsat,very_high,never_thought,STAY
zero,131969,0,0,257365,537,1,10,avg,little,considering,STAY
one,152753,0,0,176654,559,0,14,very_unsat,little,actively_looking_into_it,LEAVE
one,36138,48,11,624212,177,3,4,unsat,very_little,perhaps,STAY
zero,159549,0,0,271015,893,1,9,very_unsat,high,no,STAY
one,43280,49,47,486416,231,4,1,unsat,very_high,no,LEAVE
one,35170,160,0,292934,211,27,10,unsat,little,actively_looking_into_it,LEAVE
zero,27233,0,9,211168,147,1,4,avg,very_high,no,STAY
zero,118612,0,0,277982,501,0,10,very_unsat,very_high,actively_looking_into_it,LEAVE
one,155792,184,0,251143,790,3,8,very_sat,little,no,LEAVE
one,69505,0,47,261099,339,0,2,sat,very_little,actively_looking_into_it,LEAVE
zero,65390,73,0,254783,349,5,8,very_unsat,very_little,considering,STAY
one,67983,191,0,207208,384,19,14,very_unsat,very_high,no,LEAVE
zero,92610,82,0,193312,560,5,10,sat,little,no,STAY
zero,97840,197,18,710048,340,20,4,very_unsat,very_little,no,STAY
zero,91102,224,0,154560,332,13,6,very_unsat,very_high,considering,LEAVE
one,159370,205,73,924536,847,13,2,avg,little,considering,LEAVE
one,157461,59,0,412250,419,4,1,sat,very_high,actively_looking_into_it,LEAVE
one,27296,201,7,267179,232,26,4,very_sat,little,never_thought,STAY
one,32064,44,27,186353,185,0,2,sat,avg,perhaps,LEAVE
one,157302,0,21,208056,461,0,5,very_unsat,very_little,perhaps,STAY
one,71007,199,20,484451,327,5,6,very_unsat,little,considering,STAY
one,55998,0,57,760896,330,0,15,unsat,very_high,never_thought,STAY
zero,68230,54,46,183031,255,5,2,very_unsat,little,considering,STAY
one,20974,221,84,392906,194,12,2,unsat,little,actively_looking_into_it,STAY
zero,119088,0,12,854910,367,1,6,very_sat,little,actively_looking_into_it,STAY
zero,78749,0,41,981776,386,1,1,avg,very_high,actively_looking_into_it,STAY
one,41712,60,49,505946,178,5,1,very_unsat,very_high,considering,LEAVE
one,81842,208,10,298609,311,27,5,very_sat,very_little,no,LEAVE
zero,53380,0,71,248331,255,1,1,very_unsat,little,considering,STAY
one,32260,0,12,376631,352,0,4,very_sat,very_high,actively_looking_into_it,LEAVE
one,41174,0,0,261622,183,1,8,sat,little,never_thought,LEAVE
zero,27902,101,5,730579,179,5,4,very_sat,very_little,no,STAY
one,126184,186,0,360599,761,3,11,very_unsat,very_high,considering,LEAVE
one,100075,248,0,367116,520,5,13,very_unsat,very_little,actively_looking_into_it,LEAVE
zero,70961,69,0,239469,387,5,2,avg,little,considering,LEAVE
zero,56765,56,73,269155,368,4,1,very_unsat,very_high,no,STAY
zero,102233,0,0,236659,603,1,14,avg,little,considering,STAY
one,23757,71,23,620531,240,4,5,very_unsat,very_high,perhaps,STAY
zero,60722,37,11,270447,327,4,4,unsat,avg,considering,STAY
zero,148193,162,0,577093,606,19,12,very_sat,very_little,considering,LEAVE
zero,37187,55,23,571260,214,4,6,very_unsat,very_little,never_thought,LEAVE
zero,96147,203,0,238472,396,18,10,very_sat,little,actively_looking_into_it,STAY
zero,143810,139,12,271382,745,29,6,very_sat,little,no,LEAVE
one,35014,53,83,665791,218,3,1,avg,very_high,considering,STAY
one,64544,0,0,394003,270,0,12,very_sat,very_high,never_thought,LEAVE
one,54978,59,65,242755,329,5,4,very_sat,little,considering,LEAVE
zero,85513,72,0,516077,176,4,10,very_sat,very_high,actively_looking_into_it,STAY
zero,29292,244,43,178922,182,4,2,unsat,little,actively_looking_into_it,LEAVE
one,104690,196,46,199910,469,27,1,very_unsat,very_high,considering,LEAVE
one,21004,62,33,684758,247,4,1,very_sat,very_high,never_thought,STAY
one,42814,0,0,742880,220,1,14,avg,avg,actively_looking_into_it,LEAVE
one,147364,0,13,285230,465,0,4,very_sat,very_little,actively_looking_into_it,STAY
one,120826,0,85,210282,795,1,2,very_unsat,little,considering,STAY
zero,126880,0,49,160278,578,1,2,very_unsat,very_little,never_thought,STAY
zero,101264,0,89,683039,852,0,5,very_unsat,very_little,actively_looking_into_it,STAY
one,51395,53,20,988617,325,3,6,very_sat,little,never_thought,STAY
one,44249,0,19,522920,167,1,6,very_unsat,little,actively_looking_into_it,STAY
zero,25469,160,76,360947,158,29,1,unsat,little,considering,STAY
zero,64329,230,0,681859,372,18,11,very_unsat,little,actively_looking_into_it,STAY
one,125665,78,0,209797,805,5,14,very_unsat,little,never_thought,LEAVE
zero,50893,227,0,247758,201,26,8,avg,high,actively_looking_into_it,LEAVE
one,57659,207,67,242754,333,25,2,very_unsat,high,considering,LEAVE
one,31103,0,0,685623,237,1,6,avg,little,no,STAY
zero,117177,0,72,882677,341,1,1,very_sat,little,no,LEAVE
one,97790,199,22,732328,202,12,5,unsat,high,considering,STAY
one,106429,0,27,946153,831,1,1,avg,little,actively_looking_into_it,LEAVE
one,81187,260,0,605309,348,1,15,very_unsat,high,actively_looking_into_it,STAY
one,133224,0,45,757906,639,1,2,avg,very_high,considering,STAY
one,85593,220,72,617756,163,29,1,very_unsat,very_little,considering,STAY
one,49360,264,79,956754,189,21,1,unsat,little,considering,STAY
zero,52088,68,0,918029,256,4,13,very_sat,little,considering,STAY
one,93681,33,52,260576,832,4,2,very_unsat,very_high,considering,LEAVE
one,142243,51,36,833957,372,3,2,very_unsat,very_high,actively_looking_into_it,STAY
zero,38108,195,21,608311,161,14,5,unsat,high,never_thought,LEAVE
one,97147,35,7,698659,289,1,5,very_unsat,high,no,STAY
zero,139634,197,0,290808,805,0,14,very_sat,little,actively_looking_into_it,LEAVE
zero,29752,45,8,854047,160,4,2,very_sat,very_little,considering,STAY
zero,143162,188,0,232820,419,28,15,very_unsat,high,never_thought,STAY
zero,25854,79,0,186844,172,4,12,very_sat,little,no,STAY
one,84146,0,54,173522,383,1,2,sat,high,considering,STAY
zero,92914,0,0,196111,159,1,15,unsat,little,considering,STAY
zero,93113,203,0,831742,263,17,9,unsat,little,considering,STAY
one,21044,0,31,453116,431,1,1,very_sat,little,considering,LEAVE
one,33914,0,17,152883,168,1,5,very_unsat,little,considering,STAY
zero,73478,178,29,387488,280,10,2,very_unsat,very_high,actively_looking_into_it,LEAVE
zero,56568,183,13,244920,305,10,6,very_unsat,very_high,actively_looking_into_it,STAY
one,43307,58,19,516600,181,3,6,very_unsat,little,considering,LEAVE
zero,73281,180,14,453328,300,10,5,very_sat,avg,considering,LEAVE
one,105456,0,6,574182,473,5,6,very_sat,very_high,considering,STAY
zero,111553,45,87,365696,582,0,2,unsat,little,actively_looking_into_it,STAY
one,115224,0,21,296835,410,1,5,avg,very_high,never_thought,STAY
zero,33087,213,8,190680,172,22,6,very_sat,very_high,actively_looking_into_it,LEAVE
one,77017,0,79,229402,293,0,2,very_unsat,very_high,considering,LEAVE
zero,126998,0,88,158032,510,3,2,sat,very_little,considering,LEAVE
zero,37588,202,0,224391,193,17,13,very_unsat,high,never_thought,LEAVE
zero,58642,206,0,625127,340,12,9,very_unsat,very_little,considering,STAY
zero,82332,0,68,454886,314,1,1,unsat,very_high,actively_looking_into_it,STAY
one,48305,0,33,250129,163,0,2,very_sat,very_little,actively_looking_into_it,LEAVE
one,158720,0,88,286607,877,0,2,very_unsat,very_little,never_thought,STAY
one,74702,0,0,554338,381,1,8,very_sat,little,considering,STAY
zero,36636,0,23,391588,210,1,5,unsat,little,considering,STAY
zero,101950,61,27,350010,440,3,1,avg,very_high,considering,STAY
zero,99094,48,22,626717,374,3,5,unsat,little,actively_looking_into_it,STAY
one,118822,78,0,390433,673,3,8,very_unsat,little,no,LEAVE
zero,125380,0,0,296556,591,0,8,very_sat,very_little,never_thought,LEAVE
one,34919,97,44,236571,183,5,2,very_sat,very_little,never_thought,LEAVE
zero,68176,63,5,573192,277,4,6,very_unsat,little,considering,STAY
one,38427,0,15,889856,161,1,4,very_unsat,little,considering,STAY
one,109867,192,59,378798,810,26,2,very_unsat,very_little,never_thought,LEAVE
zero,132145,0,15,193310,423,4,6,very_unsat,very_high,actively_looking_into_it,STAY
zero,20465,48,0,858668,136,4,10,very_unsat,little,no,STAY
zero,124697,0,0,845575,808,24,14,unsat,high,actively_looking_into_it,LEAVE
zero,122547,65,0,446412,820,3,5,very_unsat,little,actively_looking_into_it,LEAVE
zero,23222,200,0,235384,149,18,13,very_unsat,very_little,considering,STAY
one,149305,0,0,610542,506,0,12,very_sat,very_high,never_thought,STAY
zero,31371,201,40,179397,211,14,2,avg,high,actively_looking_into_it,LEAVE
one,48610,0,0,223544,190,1,11,very_sat,little,considering,STAY
one,47510,0,0,351012,130,1,9,avg,very_little,considering,LEAVE
zero,58737,198,11,197889,342,26,6,very_sat,little,considering,LEAVE
zero,133514,194,21,286011,786,21,4,unsat,high,no,LEAVE
one,138724,56,0,216355,720,3,10,very_sat,little,considering,LEAVE
one,68422,0,15,408220,310,1,5,very_sat,very_high,actively_looking_into_it,STAY
one,68588,220,20,496512,383,15,4,very_unsat,very_high,actively_looking_into_it,STAY
zero,77625,270,23,482750,320,3,4,unsat,high,considering,LEAVE
one,50740,195,81,249241,179,20,2,very_unsat,very_little,considering,LEAVE
zero,139125,69,15,158537,360,4,6,very_unsat,little,considering,LEAVE
one,132907,77,12,771599,536,3,5,very_sat,very_high,perhaps,LEAVE
zero,21666,195,12,402296,216,16,6,unsat,very_little,perhaps,STAY
zero,45020,57,0,352991,140,4,13,very_unsat,high,never_thought,STAY
zero,30612,181,86,767202,204,23,2,very_sat,little,actively_looking_into_it,STAY
zero,115176,77,0,306634,425,4,13,very_unsat,high,considering,LEAVE
zero,127944,0,0,890974,720,0,8,very_unsat,little,never_thought,LEAVE
one,54690,82,34,204453,302,5,14,very_unsat,little,considering,STAY
zero,130651,208,0,265838,508,15,9,very_sat,very_little,never_thought,STAY
one,29250,66,8,224504,236,5,6,very_sat,little,no,LEAVE
one,129615,66,71,350288,460,4,2,very_unsat,very_high,no,LEAVE
one,146115,0,9,171825,402,1,5,very_unsat,very_little,considering,STAY
zero,155489,217,59,564574,593,15,2,very_sat,little,no,LEAVE
one,71240,0,73,498590,394,1,1,unsat,very_little,no,LEAVE
one,25678,61,8,211365,199,4,4,unsat,little,considering,LEAVE
zero,55408,0,26,992270,332,1,2,very_sat,little,considering,STAY
one,37013,0,0,438901,223,0,13,very_unsat,very_high,actively_looking_into_it,LEAVE
one,135030,47,0,165108,845,4,11,very_sat,very_little,considering,LEAVE
one,63600,0,12,776992,176,1,6,very_sat,very_high,no,STAY
one,30133,0,14,237721,171,0,4,very_sat,little,considering,STAY
one,135331,41,76,409970,561,5,2,unsat,very_high,no,STAY
one,156096,0,44,172478,589,5,2,avg,very_high,no,STAY
zero,144975,185,0,222000,835,28,9,very_unsat,little,no,STAY
one,142186,0,0,921750,663,0,13,very_sat,little,considering,STAY
zero,33981,57,10,869927,132,5,5,sat,little,never_thought,STAY
zero,108383,0,41,233692,882,1,1,very_sat,very_little,never_thought,LEAVE
one,96559,51,85,265633,267,3,2,unsat,little,actively_looking_into_it,STAY
zero,149464,57,68,166190,150,4,1,very_sat,little,actively_looking_into_it,STAY
zero,95734,0,27,951798,292,1,1,very_unsat,very_little,actively_looking_into_it,STAY
zero,105876,0,16,708646,736,0,4,sat,high,considering,STAY
zero,51521,0,42,339992,382,1,2,very_unsat,very_high,actively_looking_into_it,LEAVE
one,35622,0,0,407366,155,0,12,very_unsat,very_high,no,LEAVE
one,133658,201,0,945212,627,13,13,very_unsat,high,actively_looking_into_it,LEAVE
zero,138046,23,30,967867,154,4,1,very_sat,little,considering,LEAVE
one,46326,0,10,406102,138,1,4,very_unsat,very_little,actively_looking_into_it,LEAVE
zero,99658,213,19,283447,261,28,5,unsat,high,considering,STAY
one,20950,0,21,791522,239,0,5,very_unsat,very_little,considering,STAY
one,70017,61,0,188316,341,5,8,very_sat,little,considering,STAY
one,132468,62,49,598845,892,5,1,very_unsat,avg,considering,STAY
zero,48899,0,0,502818,205,1,9,very_sat,little,considering,LEAVE
zero,149741,207,0,466270,670,14,13,very_unsat,very_high,never_thought,LEAVE
one,38301,203,89,279303,454,18,1,avg,high,actively_looking_into_it,STAY
one,77303,229,24,292916,253,26,4,avg,very_high,considering,LEAVE
zero,91249,48,83,308000,280,3,2,very_sat,little,considering,LEAVE
zero,27774,28,6,955661,249,3,4,unsat,little,actively_looking_into_it,LEAVE
one,155315,0,46,389134,472,0,2,very_unsat,high,never_thought,STAY
one,74337,194,0,759902,338,26,1,very_unsat,little,never_thought,STAY
one,103782,0,0,435223,788,1,9,very_sat,little,considering,STAY
zero,114912,0,7,385468,787,1,10,very_unsat,little,considering,STAY
zero,27965,49,26,462923,226,3,1,very_sat,very_little,no,LEAVE
one,91735,182,0,270509,301,21,10,unsat,very_high,never_thought,LEAVE
zero,73061,53,0,272228,339,5,8,very_sat,little,no,LEAVE
zero,21671,43,21,213184,159,3,4,avg,very_little,considering,STAY
zero,65075,53,83,322515,289,3,2,very_unsat,little,considering,LEAVE
zero,94599,0,54,222732,326,1,2,unsat,high,actively_looking_into_it,STAY
zero,109244,77,23,231114,758,1,5,very_unsat,high,considering,LEAVE
one,26282,88,21,419056,149,4,5,unsat,little,no,LEAVE
one,43716,241,7,925419,185,10,6,very_unsat,very_high,considering,STAY
zero,44313,73,8,152565,201,5,6,unsat,little,never_thought,STAY
one,150669,0,0,790236,659,1,9,very_unsat,very_high,never_thought,STAY
zero,26730,180,44,209632,186,5,2,very_sat,very_little,actively_looking_into_it,LEAVE
one,126597,62,71,210599,687,5,2,very_sat,very_high,actively_looking_into_it,STAY
zero,22899,271,0,518185,237,15,13,sat,very_high,considering,LEAVE
one,47476,0,23,588637,156,0,5,very_unsat,very_little,actively_looking_into_it,LEAVE
one,76502,205,20,193811,384,15,6,very_sat,very_high,considering,LEAVE
one,76604,198,89,548812,156,1,1,avg,very_high,no,STAY
one,76339,0,17,952964,253,0,6,very_unsat,high,considering,STAY
zero,154468,0,16,662908,834,1,5,unsat,very_little,considering,STAY
zero,85794,233,69,444299,289,26,2,unsat,high,actively_looking_into_it,STAY
one,51488,57,8,207031,351,3,4,very_sat,very_high,considering,STAY
one,48654,49,0,284814,873,5,11,very_unsat,very_high,perhaps,LEAVE
zero,48110,0,0,211954,223,4,10,unsat,little,no,STAY
one,58679,0,7,334520,261,0,4,avg,avg,considering,STAY
one,113294,36,84,753130,557,4,2,very_unsat,very_little,actively_looking_into_it,LEAVE
zero,23420,0,48,159198,180,0,2,unsat,very_high,considering,STAY
zero,145862,80,89,402898,470,24,12,very_sat,high,considering,STAY
zero,98194,0,0,318020,396,0,10,very_unsat,little,actively_looking_into_it,STAY
one,72350,0,60,487206,131,14,2,very_unsat,little,no,LEAVE
one,124646,58,0,799308,411,4,9,very_unsat,very_high,considering,LEAVE
one,99008,42,0,699134,378,5,11,very_unsat,high,actively_looking_into_it,STAY
one,49843,92,38,186082,147,5,2,very_unsat,little,perhaps,STAY
one,27110,58,45,393866,135,3,2,very_sat,little,actively_looking_into_it,STAY
one,118242,167,13,225932,706,16,6,very_sat,little,perhaps,LEAVE
one,74318,228,0,830564,266,12,1,sat,very_high,considering,STAY
one,150133,172,64,618331,776,18,2,unsat,avg,considering,STAY
one,29061,167,51,866528,161,19,5,very_unsat,very_high,considering,STAY
one,29064,163,44,540253,148,19,2,very_unsat,very_little,considering,LEAVE
one,25370,0,0,278312,144,10,14,very_sat,very_little,no,LEAVE
one,54324,168,41,460958,359,24,1,avg,very_little,no,LEAVE
zero,47155,57,12,690658,144,3,4,very_unsat,very_little,never_thought,STAY
zero,127794,196,77,644930,689,3,2,very_unsat,little,considering,LEAVE
one,123132,178,24,287478,757,19,4,avg,little,considering,LEAVE
zero,105359,0,72,353812,651,1,2,very_unsat,very_little,considering,LEAVE
zero,34832,0,5,893098,203,3,4,very_unsat,very_high,actively_looking_into_it,STAY
zero,66695,0,0,903674,380,1,9,avg,high,never_thought,STAY
zero,75493,0,13,298922,349,0,6,unsat,high,considering,LEAVE
zero,104265,160,0,895581,402,0,5,very_unsat,very_little,considering,LEAVE
zero,84630,247,0,288738,351,23,15,very_sat,little,considering,LEAVE
zero,70673,0,21,173715,329,0,6,very_unsat,little,no,STAY
one,152863,0,75,200579,605,0,2,unsat,avg,considering,LEAVE
zero,28400,0,0,689580,234,1,12,very_unsat,high,no,STAY
one,30157,263,11,637011,198,0,13,very_sat,high,considering,STAY
one,78788,0,40,288981,356,0,2,very_unsat,little,never_thought,STAY
zero,86613,63,20,620159,272,4,5,very_unsat,very_little,perhaps,STAY
zero,59362,0,22,229697,386,0,4,very_unsat,very_high,considering,STAY
one,36612,227,68,202277,163,13,2,avg,little,considering,LEAVE
one,77816,229,46,618085,388,14,6,very_unsat,little,considering,STAY
zero,20601,179,7,965228,176,29,5,very_unsat,very_little,considering,STAY
zero,27580,50,27,156883,196,22,2,avg,high,considering,STAY
one,34769,200,77,430378,188,12,6,very_unsat,very_little,considering,LEAVE
one,147467,72,84,277627,810,4,1,avg,little,considering,STAY
one,126910,171,16,448602,482,29,4,very_sat,very_little,perhaps,LEAVE
one,82405,77,0,880589,303,4,9,unsat,little,actively_looking_into_it,STAY
zero,35616,0,36,499197,167,5,1,unsat,very_high,perhaps,LEAVE
zero,128129,88,16,208211,816,3,5,unsat,very_high,no,LEAVE
zero,151038,221,43,340565,410,29,1,unsat,little,actively_looking_into_it,LEAVE
zero,20712,0,73,468343,249,3,1,very_sat,very_little,actively_looking_into_it,LEAVE
zero,38754,0,10,978660,190,5,4,very_sat,very_little,actively_looking_into_it,STAY
zero,75075,194,0,783976,263,13,2,very_unsat,very_little,perhaps,STAY
zero,30700,0,45,594903,139,1,2,unsat,little,considering,LEAVE
one,33384,0,88,162880,206,1,1,very_unsat,very_little,considering,LEAVE
zero,57467,212,0,163383,371,24,8,very_unsat,very_high,considering,LEAVE
